House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Whitehall Square,Elaine,Doherty,9,Daughter,NA,Female,Student,None,NA
1,Whitehall Square,Vincent,Doherty,7,Son,NA,Male,Student,None,NA
1,Whitehall Square,Nicholas,Doherty,7,Son,NA,Male,Student,None,NA
2,Whitehall Square,Jacqueline,Berry,45,Head,Married,Female,"Clinical scientist, histocompatibility and immunogenetics",None,None
2,Whitehall Square,Lee,Berry,47,Husband,Married,Male,TEFL teacher,None,None
2,Whitehall Square,Lynne,Ahmed,28,None,Married,Female,Furniture designer,None,Methodist
2,Whitehall Square,Scott,Ahmed,33,None,Married,Male,Licensed conveyancer,None,Methodist
3,Whitehall Square,Sian,Williams,42,Head,Divorced,Female,"Buyer, retail",None,Methodist
3,Whitehall Square,Megan,Williams,2,Daughter,NA,Female,Child,None,NA
3,Whitehall Square,James,Williams,1,Son,NA,Male,Child,None,NA
3,Whitehall Square,Cameron,Taylor,61,Lodger,Widowed,Male,Volunteer coordinator,None,None
4,Whitehall Square,Abigail,Brennan,45,Head,Married,Female,Farm manager,None,Methodist
4,Whitehall Square,Neil,Brennan,46,Husband,Married,Male,Unemployed,None,None
4,Whitehall Square,Jodie,Brennan,14,Daughter,NA,Female,Student,None,NA
4,Whitehall Square,Guy,Brennan,12,Son,NA,Male,Student,None,NA
5,Whitehall Square,Louise,Williams,57,Head,Married,Female,Nutritional therapist,None,None
5,Whitehall Square,Antony,Williams,62,Husband,Married,Male,"Administrator, education",None,None
5,Whitehall Square,Margaret,Williams,19,Daughter,Widowed,Female,University Student,None,None
5,Whitehall Square,Kevin,Williams,16,Son,NA,Male,Student,None,NA
6,Whitehall Square,Melissa,Dixon,31,Head,Married,Female,Clinical embryologist,None,None
6,Whitehall Square,Mark,Dixon,33,Husband,Married,Male,Unemployed,None,None
6,Whitehall Square,Lisa,Dixon,3,Daughter,NA,Female,Child,None,NA
6,Whitehall Square,Robert,Dixon,3,Son,NA,Male,Child,None,NA
7,Whitehall Square,Kim,Lynch,47,Head,Married,Female,Unemployed,None,None
7,Whitehall Square,Malcolm,Lynch,45,Husband,Married,Male,Medical secretary,None,None
7,Whitehall Square,Natalie,Lynch,12,Daughter,NA,Female,Student,None,NA
7,Whitehall Square,Danielle,Lynch,8,Daughter,NA,Female,Student,None,NA
8,Whitehall Square,Beth,Smith,21,Head,Single,Female,University Student,None,None
8,Whitehall Square,Justin,Holmes,20,None,Single,Male,University Student,None,Methodist
8,Whitehall Square,Jasmine,Howard,22,None,Single,Female,University Student,None,None
8,Whitehall Square,Hannah,Harding,18,None,Single,Female,University Student,None,Christian
1,Harrison Lakes,Vincent,Williams,24,Head,Divorced,Male,"Engineer, aeronautical",None,None
2,Harrison Lakes,Benjamin,Hunter,28,Head,Single,Male,Medical sales representative,None,None
3,Harrison Lakes,Carole,Jackson,46,Head,Married,Female,"Engineer, agricultural",None,Christian
3,Harrison Lakes,Mohammad,Jackson,48,Husband,Married,Male,Broadcast journalist,None,None
3,Harrison Lakes,Jason,Jackson,10,Son,NA,Male,Student,None,NA
4,Harrison Lakes,Joel,Middleton,48,Head,Single,Male,"Investment banker, corporate",None,None
5,Harrison Lakes,Charles,Palmer,75,Head,Divorced,Male,Retired Patent attorney,None,None
6,Harrison Lakes,Heather,Woods,36,Head,Single,Female,Sports coach,None,Christian
6,Harrison Lakes,Janice,Woods,12,Daughter,NA,Female,Student,None,NA
7,Harrison Lakes,Sam,Jones,18,Head,Married,Male,Student,None,NA
7,Harrison Lakes,Denise,Jones,19,Wife,Married,Female,University Student,None,NA
8,Harrison Lakes,Hannah,Andrews,81,Head,Widowed,Female,Retired Musician,None,Catholic
9,Harrison Lakes,Deborah,Turner,87,Head,Widowed,Female,Retired Technical brewer,None,Christian
10,Harrison Lakes,Clive,Robinson,25,Head,Single,Male,"Designer, textile",None,None
11,Harrison Lakes,Howard,Blackburn,57,Head,Single,Male,Senior tax professional/tax inspector,None,Christian
11,Harrison Lakes,Eleanor,Smith,55,None,Single,Female,Psychiatric nurse,None,None
12,Harrison Lakes,Alison,Williams,36,Head,Single,Female,"Therapist, horticultural",None,None
13,Harrison Lakes,Ryan,Dale,29,Head,Single,Male,"Social research officer, government",None,None
14,Harrison Lakes,Lynda,Young,26,Head,Married,Female,"Engineer, site",None,Christian
14,Harrison Lakes,Karl,Young,28,Husband,Married,Male,Futures trader,None,Christian
15,Harrison Lakes,Rosie,Lee,18,Head,Single,Female,University Student,None,Catholic
15,Harrison Lakes,Edward,Dawson,29,None,Single,Male,PhD Student,None,Methodist
16,Harrison Lakes,Geraldine,Ward,73,Head,Widowed,Female,Retired Patent attorney,None,Methodist
17,Harrison Lakes,Liam,Jones,88,Head,Married,Male,Retired Human resources officer,None,Methodist
17,Harrison Lakes,Kayleigh,Jones,86,Wife,Married,Female,Retired Insurance claims handler,None,Methodist
18,Harrison Lakes,Duncan,Wright,67,Head,Widowed,Male,"Horticulturist, amenity",None,Christian
19,Harrison Lakes,Dorothy,Forster,47,Head,Single,Female,Lexicographer,None,Catholic
20,Harrison Lakes,Scott,Harvey,85,Head,Widowed,Male,Retired Fisheries officer,None,None
21,Harrison Lakes,John,Sutton,44,Head,Single,Male,"Engineer, communications",None,Christian
22,Harrison Lakes,Frederick,Griffiths,32,Head,Single,Male,Armed forces operational officer,None,None
23,Harrison Lakes,Josh,Fisher,28,Head,Single,Male,"Journalist, magazine",None,None
23,Harrison Lakes,Megan,Bailey,24,None,Single,Female,"Merchandiser, retail",None,Methodist
23,Harrison Lakes,Lewis,Collins,48,None,Single,Male,Unemployed,None,Methodist
24,Harrison Lakes,Annette,Evans,35,Head,Single,Female,"Administrator, charities/voluntary organisations",None,Catholic
24,Harrison Lakes,Glen,Spencer,40,Lodger,Single,Male,Sales executive,None,None
24,Harrison Lakes,Jemma,Wood,41,Sibling,Single,Female,Unemployed,None,None
25,Harrison Lakes,Joan,Hodgson,67,Head,Single,Female,"Designer, exhibition/display",None,Methodist
26,Harrison Lakes,Albert,Gardner,82,Head,Widowed,Male,Retired Speech and language therapist,None,None
27,Harrison Lakes,Dylan,Cooper,100,Head,Widowed,Male,Retired Public affairs consultant,None,None
28,Harrison Lakes,Dorothy,Webster,49,Head,Widowed,Female,"Designer, ceramics/pottery",None,Catholic
29,Harrison Lakes,Josh,Foster,79,Head,Widowed,Male,Retired Industrial/product designer,None,Catholic
30,Harrison Lakes,Callum,Smith,44,Head,Single,Male,Rural practice surveyor,None,None
31,Harrison Lakes,Chelsea,Wood,31,Head,Widowed,Female,Private music teacher,Mental Disability,Christian
32,Harrison Lakes,Jodie,Jones,36,Head,Divorced,Female,Landscape architect,None,Catholic
32,Harrison Lakes,Stephen,Jones,12,Son,NA,Male,Student,None,NA
32,Harrison Lakes,Marie,Jones,11,Daughter,NA,Female,Student,None,NA
33,Harrison Lakes,Chelsea,Clark,42,Head,Divorced,Female,Risk manager,None,None
34,Harrison Lakes,Clifford,Thompson,23,Head,Single,Male,Volunteer coordinator,None,Muslim
35,Harrison Lakes,Shannon,Saunders,22,Head,Single,Female,University Student,None,Methodist
36,Harrison Lakes,Paige,Williams,51,Head,Divorced,Female,Adult nurse,None,Methodist
37,Harrison Lakes,Yvonne,Henderson,33,Head,Single,Female,"Buyer, retail",None,Catholic
38,Harrison Lakes,Charlene,Long,21,Head,Married,Female,University Student,None,Catholic
38,Harrison Lakes,Alex,Long,23,Husband,Married,Male,Patent attorney,None,Catholic
38,Harrison Lakes,Edward,Ward,44,Lodger,Single,Male,Applications developer,None,Methodist
39,Harrison Lakes,Deborah,Goodwin,29,Head,Single,Female,Chartered legal executive (England and Wales),None,None
40,Harrison Lakes,Lynda,Hooper,53,Head,Married,Female,Industrial/product designer,None,Catholic
40,Harrison Lakes,Jamie,Hooper,56,Husband,Married,Male,Physiological scientist,None,Catholic
40,Harrison Lakes,Terence,Hooper,11,Son,NA,Male,Student,None,NA
41,Harrison Lakes,Rachael,Bell,71,Head,Widowed,Female,"Retired Administrator, education",None,Methodist
41,Harrison Lakes,Howard,Bell,38,Son,Divorced,Male,Product/process development scientist,None,Methodist
41,Harrison Lakes,Sophie,Bell,36,Daughter,Divorced,Female,Unemployed,None,None
42,Harrison Lakes,Melissa,Campbell,48,Head,Single,Female,Diagnostic radiographer,None,Methodist
43,Harrison Lakes,Carol,O'Brien,67,Head,Divorced,Female,Publishing copy,None,Christian
43,Harrison Lakes,Duncan,Marshall,6,Grandson,NA,Male,Student,None,NA
44,Harrison Lakes,Geraldine,Kent,73,Head,Widowed,Female,Retired Adult guidance worker,None,Christian
45,Harrison Lakes,Nicole,Ellis,35,Head,Single,Female,Adult guidance worker,None,Catholic
46,Harrison Lakes,Jemma,Roberts,21,Head,Single,Female,University Student,None,None
47,Harrison Lakes,Elliot,Williams,42,Head,Single,Male,Optometrist,None,Christian
48,Harrison Lakes,Gail,Warren,34,Head,Married,Female,Water engineer,None,None
48,Harrison Lakes,Allan,Warren,36,Husband,Married,Male,"Horticulturist, amenity",None,None
48,Harrison Lakes,Ben,Warren,13,Son,NA,Male,Student,None,NA
48,Harrison Lakes,Damien,Warren,11,Son,NA,Male,Student,None,NA
49,Harrison Lakes,Wendy,Watkins,65,Head,Married,Female,"Scientist, research (maths)",None,Christian
49,Harrison Lakes,Trevor,Watkins,64,Husband,Married,Male,Lawyer,None,None
50,Harrison Lakes,Victor,Cooke,62,Head,Single,Male,"Designer, multimedia",None,None
1,Exchange Rapid,Dean,Davis,64,Head,Married,Male,"Teacher, special educational needs",None,Methodist
1,Exchange Rapid,Victoria,Davis,62,Wife,Married,Female,Unemployed,None,Methodist
2,Exchange Rapid,Claire,Chapman,45,Head,Married,Female,"Engineer, aeronautical",None,Catholic
2,Exchange Rapid,Thomas,Chapman,47,Husband,Married,Male,Medical physicist,None,Catholic
2,Exchange Rapid,Jordan,Chapman,18,Son,Divorced,Male,Student,None,None
2,Exchange Rapid,Jennifer,Chapman,16,Daughter,NA,Female,Student,None,NA
3,Exchange Rapid,Joanne,Doyle,41,Head,Single,Female,Primary school teacher,None,None
3,Exchange Rapid,Sam,Davey,60,Lodger,Single,Male,Waste management officer,None,None
3,Exchange Rapid,Allan,Shah,29,Visitor,Single,Male,"Merchandiser, retail",None,Catholic
3,Exchange Rapid,Victor,Patel,19,Visitor,Single,Male,University Student,None,Catholic
4,Exchange Rapid,Sean,Owen,53,Head,Single,Male,Unemployed,None,Methodist
5,Exchange Rapid,Ruth,Brown,51,Head,Single,Female,Unemployed,None,None
5,Exchange Rapid,Louis,Brown,31,Son,Single,Male,"Teacher, secondary school",None,None
5,Exchange Rapid,Carole,Rose-Brown,30,Daughter,Single,Female,Printmaker,None,None
6,Exchange Rapid,Pamela,Barber,50,Head,Single,Female,Lawyer,None,Christian
6,Exchange Rapid,Emily,Barber,16,Daughter,NA,Female,Student,None,NA
6,Exchange Rapid,Jemma,Barber,13,Daughter,NA,Female,Student,None,NA
7,Exchange Rapid,Naomi,Harper,48,Head,Married,Female,"Merchandiser, retail",None,None
7,Exchange Rapid,Charles,Harper,53,Husband,Married,Male,Unemployed,None,None
7,Exchange Rapid,Toby,Harper,19,Son,Single,Male,University Student,None,None
7,Exchange Rapid,Josephine,Harper,16,Daughter,NA,Female,Student,None,NA
7,Exchange Rapid,Sheila,Harper,16,Daughter,NA,Female,Student,None,NA
8,Exchange Rapid,Charlotte,Robinson,59,Head,Divorced,Female,Unemployed,None,None
8,Exchange Rapid,Beth,Robinson,16,Daughter,NA,Female,Student,None,NA
8,Exchange Rapid,Eileen,Robinson,8,Daughter,NA,Female,Student,None,NA
9,Exchange Rapid,Jack,Osborne,56,Head,Single,Male,Records manager,None,Christian
9,Exchange Rapid,Linda,Pearson,58,None,Single,Female,"Production assistant, radio",None,Christian
9,Exchange Rapid,Tina,Johnson,33,None,Single,Female,Advertising art director,None,Christian
9,Exchange Rapid,Brenda,Harrison,42,None,Single,Female,Product/process development scientist,None,Christian
9,Exchange Rapid,Alison,Ross,40,None,Single,Female,Unemployed,None,Methodist
10,Exchange Rapid,Ellie,Lane,39,Head,Married,Female,"Administrator, local government",None,None
10,Exchange Rapid,Kenneth,Lane,38,Husband,Married,Male,"Investment banker, operational",None,None
11,Exchange Rapid,Zoe,Davies,53,Head,Married,Female,Counselling psychologist,None,Christian
11,Exchange Rapid,Charlie,Davies,54,Husband,Married,Male,"Librarian, public",None,Christian
12,Exchange Rapid,Patrick,Wilson,44,Head,Married,Male,Unemployed,None,Methodist
12,Exchange Rapid,Tracey,Wilson,41,Wife,Married,Female,"Lecturer, further education",None,None
13,Exchange Rapid,Gail,Wood,33,Head,Single,Female,"Engineer, land",None,None
13,Exchange Rapid,Richard,Wood,7,Son,NA,Male,Student,None,NA
14,Exchange Rapid,Alice,Burton,30,Head,Married,Female,Seismic interpreter,None,Muslim
14,Exchange Rapid,Alexander,Burton,30,Husband,Married,Male,Land,None,Muslim
15,Exchange Rapid,Shirley,Atkinson,40,Head,Divorced,Female,"Administrator, charities/voluntary organisations",None,Catholic
15,Exchange Rapid,Nicola,Atkinson,1,Daughter,NA,Female,Child,None,NA
16,Exchange Rapid,Beverley,Holt,73,Head,Widowed,Female,Retired Analytical chemist,None,Methodist
17,Exchange Rapid,Barry,Fowler,82,Head,Married,Male,Retired Oceanographer,None,None
17,Exchange Rapid,Kate,Fowler,80,Wife,Married,Female,Retired Fisheries officer,None,None
18,Exchange Rapid,Beth,Williams,46,Head,Single,Female,"Scientist, audiological",None,Jewish
18,Exchange Rapid,Cameron,Moore,48,Partner,Single,Male,Housing manager/officer,None,Jewish
19,Exchange Rapid,Ryan,Miller,61,Head,Married,Male,Architectural technologist,None,Sikh
19,Exchange Rapid,Valerie,Miller,61,Wife,Married,Female,"Engineer, manufacturing",None,Sikh
20,Exchange Rapid,Annette,Ingram,27,Head,Married,Female,Automotive engineer,None,Catholic
20,Exchange Rapid,Wayne,Ingram,30,Husband,Married,Male,"Restaurant manager, fast food",Mental Disability,Catholic
21,Exchange Rapid,Mark,Gardiner,84,Head,Married,Male,Retired Ambulance person,None,Jewish
21,Exchange Rapid,Lauren,Gardiner,79,Wife,Married,Female,"Retired Nurse, learning disability",None,None
22,Exchange Rapid,Melissa,Evans,33,Head,Divorced,Female,Unemployed,None,None
22,Exchange Rapid,Denis,Evans,9,Son,NA,Male,Student,None,NA
23,Exchange Rapid,Shannon,Holden,30,Head,Single,Female,Pharmacologist,None,Christian
23,Exchange Rapid,Iain,Davis,33,Partner,Single,Male,Operational researcher,None,Christian
23,Exchange Rapid,Dale,Holden,1,Son,NA,Male,Child,None,NA
24,Exchange Rapid,Helen,Allen,30,Head,Single,Female,Maintenance engineer,None,Christian
24,Exchange Rapid,Chelsea,Allen,1,Adopted Daughter,NA,Female,Child,None,NA
24,Exchange Rapid,Julian,Webb,25,Lodger,Divorced,Male,"Civil engineer, consulting",None,None
24,Exchange Rapid,Samuel,Holloway,23,Visitor,Single,Male,Amenity horticulturist,None,None
25,Exchange Rapid,Geraldine,Allan,48,Head,Widowed,Female,"Engineer, energy",None,None
25,Exchange Rapid,Joseph,Allan,24,Son,Divorced,Male,Economist,None,None
26,Exchange Rapid,Jason,Steele,74,Head,Divorced,Male,"Retired Editor, commissioning",None,Christian
27,Exchange Rapid,Angela,Richardson,38,Head,Married,Female,Early years teacher,None,None
27,Exchange Rapid,Reece,Richardson,39,Husband,Married,Male,Mudlogger,None,None
27,Exchange Rapid,Shannon,Richardson,6,Daughter,NA,Female,Student,None,NA
27,Exchange Rapid,Ben,Richardson,2,Son,NA,Male,Child,None,NA
28,Exchange Rapid,Phillip,McCarthy,55,Head,Married,Male,Passenger transport manager,None,Christian
28,Exchange Rapid,Emma,McCarthy,51,Wife,Married,Female,Interior and spatial designer,None,None
28,Exchange Rapid,Graham,McCarthy,12,Son,NA,Male,Student,None,NA
28,Exchange Rapid,Kelly,McCarthy,8,Daughter,NA,Female,Student,None,NA
29,Exchange Rapid,Melissa,Wells,30,Head,Single,Female,Air broker,None,Christian
29,Exchange Rapid,Antony,Jones,38,Partner,Single,Male,Professor Emeritus,None,Christian
29,Exchange Rapid,Charlotte,Wells,4,Daughter,NA,Female,Child,None,NA
29,Exchange Rapid,Shirley,Allen-Wells,1,Daughter,NA,Female,Child,None,NA
30,Exchange Rapid,Maureen,Berry-Cooke,40,Head,Married,Female,"Sales professional, IT",None,None
30,Exchange Rapid,Mohammed,Berry-Cooke,43,Husband,Married,Male,"Therapist, nutritional",None,None
30,Exchange Rapid,Joseph,Berry-Cooke,13,Son,NA,Male,Student,None,NA
30,Exchange Rapid,Leonard,Berry-Cooke,10,Son,NA,Male,Student,None,NA
31,Exchange Rapid,Hugh,Roberts,23,Head,Single,Male,Unemployed,None,None
31,Exchange Rapid,Sally,King,19,Partner,Single,Female,University Student,None,None
32,Exchange Rapid,Chelsea,Graham,64,Head,Married,Female,Unemployed,None,Catholic
32,Exchange Rapid,Clive,Foster,62,Husband,Married,Male,Medical sales representative,None,Catholic
1,October Avenue,Anne,Mills,65,Head,Single,Female,Fashion designer,None,Methodist
1,October Avenue,Mark,Holmes,13,Grandson,NA,Male,Student,None,NA
1,October Avenue,Georgina,Thompson,11,Granddaughter,NA,Female,Student,None,NA
1,October Avenue,Tracey,Thomas,11,Granddaughter,NA,Female,Student,None,NA
1,October Avenue,Teresa,Harrison,9,Granddaughter,NA,Female,Student,None,NA
2,October Avenue,Antony,Sykes,78,Head,Married,Male,"Retired Engineer, technical sales",None,None
2,October Avenue,Nicola,Sykes,78,Wife,Married,Female,Retired Ecologist,None,None
3,October Avenue,Shirley,Kent,42,Head,Single,Female,Holiday representative,None,Catholic
3,October Avenue,Kyle,Thomas,44,Partner,Single,Male,Herpetologist,None,None
3,October Avenue,Lesley,Kent,3,Daughter,NA,Female,Child,None,NA
3,October Avenue,Leanne,Brown,21,Lodger,Divorced,Female,University Student,None,Methodist
4,October Avenue,Natasha,Singh-Payne,28,Head,Married,Female,English as a foreign language teacher,None,None
4,October Avenue,Damien,Singh-Payne,27,Husband,Married,Male,"Surveyor, hydrographic",None,None
4,October Avenue,Melissa,Singh-Payne,6,Daughter,NA,Female,Student,None,NA
4,October Avenue,Lynda,Singh-Payne,6,Daughter,NA,Female,Student,None,NA
4,October Avenue,Brandon,Singh-Payne,6,Son,NA,Male,Student,None,NA
5,October Avenue,Katie,Fowler,59,Head,Married,Female,Health visitor,None,Christian
5,October Avenue,Connor,Fowler,61,Husband,Married,Male,Media buyer,None,None
5,October Avenue,Dylan,Fowler,33,Son,Single,Male,Unemployed,None,None
5,October Avenue,Christopher,Coleman,29,Son,Divorced,Male,Ceramics designer,None,Christian
6,October Avenue,Alexander,Cooper,55,Head,Single,Male,Air cabin crew,None,Christian
6,October Avenue,Rita,Black,53,Partner,Single,Female,Arts administrator,None,Christian
7,October Avenue,Hazel,Leach,46,Head,Divorced,Female,Cytogeneticist,None,None
8,October Avenue,Ashley,Green,77,Head,Married,Male,Retired Bookseller,None,Catholic
8,October Avenue,Jacqueline,Green,75,Wife,Married,Female,"Retired Optician, dispensing",None,Catholic
9,October Avenue,Clifford,Marshall,44,Head,Single,Male,Broadcast journalist,None,Methodist
9,October Avenue,Rachel,Mills,42,Partner,Single,Female,"Scientist, forensic",None,Methodist
10,October Avenue,Valerie,Jones,36,Head,Married,Female,"Therapist, music",None,Catholic
10,October Avenue,Guy,Jones,34,Husband,Married,Male,"Conservator, museum/gallery",None,None
10,October Avenue,Frances,Jones,7,Daughter,NA,Female,Student,None,NA
10,October Avenue,Jessica,Jones,3,Daughter,NA,Female,Child,None,NA
11,October Avenue,Bradley,Woods,21,Head,Single,Male,University Student,None,None
11,October Avenue,Jayne,Brown,18,None,Single,Female,University Student,None,Christian
11,October Avenue,Toby,Bell,20,None,Single,Male,University Student,None,None
11,October Avenue,Gerald,Russell,21,None,Single,Male,University Student,None,Catholic
11,October Avenue,Suzanne,Hayes,21,None,Single,Female,University Student,None,None
12,October Avenue,Elliot,Middleton,72,Head,Widowed,Male,Retired Data processing manager,None,Catholic
13,October Avenue,Clare,Smith,46,Head,Single,Female,Arts development officer,None,Methodist
13,October Avenue,Alison,Smith,11,Daughter,NA,Female,Student,None,NA
13,October Avenue,Emily,Smith,10,Daughter,NA,Female,Student,None,NA
13,October Avenue,Marcus,Smith,6,Son,NA,Male,Student,None,NA
13,October Avenue,Charlie,Smith,5,Son,NA,Male,Student,None,NA
14,October Avenue,Paula,Shaw,35,Head,Married,Female,Research scientist (medical),None,Christian
14,October Avenue,Declan,Shaw,37,Husband,Married,Male,Tour manager,None,None
15,October Avenue,Judith,Coleman,60,Head,Single,Female,Land/geomatics surveyor,None,Christian
15,October Avenue,Valerie,Coleman,39,Daughter,Single,Female,Charity officer,None,None
15,October Avenue,Phillip,Coleman,35,Son,Single,Male,"Engineer, agricultural",None,Christian
16,October Avenue,Bernard,Turner,63,Head,Married,Male,Planning and development surveyor,None,Christian
16,October Avenue,Katherine,Turner,66,Wife,Married,Female,Museum education officer,None,None
16,October Avenue,Brian,Norris,8,Grandson,NA,Male,Student,None,NA
16,October Avenue,Heather,Norris,6,Granddaughter,NA,Female,Student,None,NA
16,October Avenue,Nicola,Warren,44,Lodger,Single,Female,Dentist,None,Catholic
17,October Avenue,Shannon,Wilkinson,20,Head,Single,Female,University Student,None,Catholic
17,October Avenue,Albert,Grant,22,None,Single,Male,University Student,None,Methodist
17,October Avenue,Kerry,Smith,22,None,Single,Female,University Student,None,NA
17,October Avenue,Barbara,Ryan,20,None,Single,Female,University Student,None,None
18,October Avenue,Susan,Matthews,44,Head,Married,Female,Haematologist,None,Christian
18,October Avenue,Cameron,Matthews,46,Husband,Married,Male,Music tutor,None,None
18,October Avenue,Oliver,Matthews,15,Son,NA,Male,Student,None,NA
19,October Avenue,Joanne,Jones,51,Head,Married,Female,Unemployed,None,None
19,October Avenue,Philip,Jones,53,Husband,Married,Male,Warehouse manager,None,None
19,October Avenue,Ryan,Jones,22,Son,Single,Male,University Student,None,None
19,October Avenue,Christine,Jones,13,Daughter,NA,Female,Student,None,NA
20,October Avenue,Ben,Adams,39,Head,Married,Male,Biomedical engineer,None,Christian
20,October Avenue,Paige,Adams,37,Wife,Married,Female,Unemployed,None,None
21,October Avenue,Hazel,Walsh,45,Head,Single,Female,Unemployed,None,Catholic
21,October Avenue,Gemma,Walsh,7,Daughter,NA,Female,Student,None,NA
21,October Avenue,Dennis,Walsh,2,Son,NA,Male,Child,None,NA
21,October Avenue,Natalie,Harrison,56,Lodger,Single,Female,Arts administrator,None,Christian
1,Watson Point,Pauline,Collins,72,Head,Married,Female,Retired Sub,None,None
1,Watson Point,Gordon,Collins,73,Husband,Married,Male,Retired Phytotherapist,None,None
2,Watson Point,Gemma,Marsden,81,Head,Divorced,Female,Retired Risk analyst,None,Christian
3,Watson Point,Diana,Burns,64,Head,Single,Female,Chiropractor,None,Catholic
4,Watson Point,Louise,Hall,26,Head,Single,Female,"Production designer, theatre/television/film",None,Sikh
5,Watson Point,Jodie,Morris,20,Head,Single,Female,University Student,None,Methodist
6,Watson Point,Diane,Duffy,39,Head,Married,Female,Counselling psychologist,None,Catholic
6,Watson Point,Brian,Allen,39,Husband,Married,Male,Child psychotherapist,None,None
7,Watson Point,Elliott,May,58,Head,Single,Male,"Teacher, secondary school",None,None
8,Watson Point,Sophie,Ward,48,Head,Single,Female,"Teacher, music",None,Catholic
9,Watson Point,Robin,Hammond,76,Head,Widowed,Male,Retired Art therapist,None,None
10,Watson Point,Marion,Shah,31,Head,Single,Female,"Therapist, sports",None,Catholic
11,Watson Point,Connor,White,18,Head,Single,Male,Student,None,NA
12,Watson Point,Dennis,Richardson,48,Head,Single,Male,Unemployed,None,Catholic
13,Watson Point,Jay,O'Neill,48,Head,Divorced,Male,Translator,None,None
14,Watson Point,Molly,James,55,Head,Married,Female,Careers adviser,None,None
14,Watson Point,Glen,James,56,Husband,Married,Male,"Research officer, government",None,None
14,Watson Point,Bryan,James,17,Son,NA,Male,Student,None,NA
15,Watson Point,Pauline,Williams,56,Head,Single,Female,Technical sales engineer,None,Christian
16,Watson Point,Jacob,Chadwick,82,Head,Married,Male,Retired Museum education officer,None,Christian
16,Watson Point,Leah,Chadwick,81,Wife,Married,Female,Retired Advertising copywriter,None,Christian
17,Watson Point,Jean,Parsons,19,Head,Single,Female,University Student,None,None
18,Watson Point,Vincent,Hall,34,Head,Single,Male,Communications engineer,None,None
19,Watson Point,Dorothy,Garner,83,Head,Divorced,Female,Retired Geophysical data processor,None,Christian
20,Watson Point,Duncan,Miller,69,Head,Married,Male,"Retired Surveyor, quantity",None,Muslim
20,Watson Point,Susan,Miller,67,Wife,Married,Female,"Teacher, early years/pre",None,None
21,Watson Point,Josh,Watson,63,Head,Single,Male,Conference centre manager,None,None
22,Watson Point,Patrick,Ross,46,Head,Divorced,Male,IT trainer,None,None
23,Watson Point,Sarah,Perry,28,Head,Single,Female,Artist,None,None
24,Watson Point,Stephanie,Richardson,72,Head,Widowed,Female,"Retired Engineer, maintenance (IT)",None,Muslim
24,Watson Point,Margaret,Richardson,29,Daughter,Single,Female,Industrial buyer,None,Muslim
24,Watson Point,Anna,Richardson,25,Daughter,Single,Female,International aid/development worker,None,None
25,Watson Point,Liam,Griffin,65,Head,Widowed,Male,"Engineer, structural",None,Christian
26,Watson Point,Charles,Russell,34,Head,Single,Male,Video editor,None,None
1,Westminster Road,Ricky,North,54,Head,Divorced,Male,Energy manager,None,Christian
2,Westminster Road,Shirley,Butler,71,Head,Married,Female,Retired Surgeon,None,None
2,Westminster Road,Roger,Butler,72,Husband,Married,Male,"Retired Therapist, music",Deaf,None
3,Westminster Road,Charles,Richards,76,Head,Divorced,Male,Retired Community pharmacist,None,None
4,Westminster Road,Katie,Stokes,19,Head,Married,Female,University Student,None,None
4,Westminster Road,Billy,Stokes,22,Husband,Married,Male,University Student,None,None
4,Westminster Road,Martin,Stokes,2,Son,NA,Male,Child,None,NA
5,Westminster Road,Ashleigh,Carroll,39,Head,Married,Female,Theme park manager,None,Catholic
5,Westminster Road,Joe,Carroll,44,Husband,Married,Male,Commercial horticulturist,None,Catholic
5,Westminster Road,Marian,Carroll,9,Daughter,NA,Female,Student,None,NA
6,Westminster Road,Maria,Rees,47,Head,Single,Female,Surgeon,None,Jewish
6,Westminster Road,Patrick,Thompson,50,Partner,Single,Male,Trade union research officer,None,Jewish
6,Westminster Road,Lauren,Rees,16,Daughter,NA,Female,Student,None,NA
7,Westminster Road,Lynn,Harris,38,Head,Married,Female,Product manager,None,Jewish
7,Westminster Road,Lewis,Harris,41,Husband,Married,Male,Estate agent,None,None
7,Westminster Road,Nigel,Harris,11,Son,NA,Male,Student,None,NA
1,Bletchley Drive,Lisa,Godfrey,34,Head,Divorced,Female,Armed forces operational officer,None,Methodist
1,Bletchley Drive,Peter,Godfrey,14,Son,NA,Male,Student,None,NA
1,Bletchley Drive,Bethan,Godfrey,11,Daughter,NA,Female,Student,None,NA
1,Bletchley Drive,Malcolm,Godfrey,9,Son,NA,Male,Student,None,NA
1,Bletchley Drive,Annette,Godfrey,6,Daughter,NA,Female,Student,None,NA
2,Bletchley Drive,Lydia,Riley,41,Head,Single,Female,IT consultant,None,None
2,Bletchley Drive,George,Evans,41,Partner,Single,Male,"Engineer, chemical",None,None
2,Bletchley Drive,Emma,Riley,6,Daughter,NA,Female,Student,None,NA
2,Bletchley Drive,Arthur,Riley,3,Son,NA,Male,Child,None,NA
2,Bletchley Drive,Josephine,Walker,28,Lodger,Single,Female,"Designer, ceramics/pottery",None,None
3,Bletchley Drive,Kim,Gallagher,78,Head,Married,Female,"Retired Accountant, chartered management",None,Christian
